model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss,family,initial_fitted_variance,architecture_lambda_zero_fitted_variance,max_lambda_zero_fitted_variance,achieved_r,valid_complexity_reference
dnn,0.05,2,4,0.0,0.2444312127604942,0.0899209929604594,dnn,1.8935111725099096e-12,1.9324999933623133e-11,0.7851186394691467,2.4117516478658512e-12,True
dnn,0.05,2,2,0.0,2.0090311238977194,0.0899209931839768,dnn,1.4210854715202004e-14,1.5683493614915278e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.5,7.4013339421880975,0.0899209931839768,dnn,5.684341886080802e-14,1.6458682239317568e-07,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,8,0.0,7.4013339421880975,0.0899209931839768,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
dnn,0.05,2,4,0.0,7.4013339421880975,0.0899209931839768,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,6.69493964544323,0.0899209931839768,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,2.455349570439492,0.0899209931839768,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,8.182261084470007,0.0899209931839768,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,2.0090311238977194,0.0899209933826589,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.5,1.1005421090383831,0.0899209935068353,dnn,7.980815986373402e-13,1.6458682239317568e-07,0.7851186394691467,1.016510828448753e-12,True
dnn,0.05,2,4,1.0,0.3650984560060393,0.0899216872055594,dnn,1.1217332618329579e-10,8.723098687823949e-09,0.7851186394691467,1.428743638784848e-10,True
dnn,0.05,2,4,0.0,0.9955047366910889,0.0899451550939941,dnn,7.787548072222573e-15,1.9324999933623133e-11,0.7851186394691467,9.918944323482216e-15,True
dnn,0.05,2,4,0.0,1.4869510248216484,0.0899451587944491,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,1.643841718255735,0.0899451594401661,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.0,0.2211023350218148,0.0899451595643425,dnn,1.3851363389605353e-09,1.5683493614915278e-08,0.7851186394691467,1.7642382556311323e-09,True
dnn,0.05,2,2,0.0,1.2166621504910964,0.0899451595643425,dnn,6.79847278191141e-14,1.5683493614915278e-08,0.7851186394691467,8.659166194943681e-14,True
dnn,0.05,2,8,0.0,9.045585157672232,0.0899451595643425,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
dnn,0.05,2,2,0.0,4.482221685612751,0.0899451595643425,dnn,1.4210854715202004e-14,1.5683493614915278e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,0.0,4.955148403871969,0.0899451595643425,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
dnn,0.05,2,8,0.0,5.477974412378556,0.0899451595643425,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
dnn,0.05,2,8,0.0,0.6028741513057392,0.0899457591125631,dnn,1.8929370224074482e-11,1.0007839001957564e-08,0.7851186394691467,2.411020356983686e-11,True
dnn,0.05,2,4,0.0,0.7368062997280775,0.0899633477800204,dnn,2.040678722195228e-14,1.9324999933623133e-11,0.7851186394691467,2.5991979041218798e-14,True
dnn,0.05,2,4,0.0,0.4932873707061831,0.089963349493654,dnn,1.8383161475270943e-13,1.9324999933623133e-11,0.7851186394691467,2.3414501390134626e-13,True
dnn,0.05,2,8,0.0,0.8145479666433055,0.0899633498910183,dnn,2.2128575014046525e-12,1.0007839001957564e-08,0.7851186394691467,2.8185007846723176e-12,True
dnn,0.05,2,8,0.5,1.817286211563076,0.0899633535169675,dnn,1.4722445674684656e-14,1.2262222526260302e-07,0.7851186394691467,1.8751873837359344e-14,True
dnn,0.05,2,4,0.0,0.6028741513057392,0.0899633539888376,dnn,7.01447770310934e-14,1.9324999933623133e-11,0.7851186394691467,8.934290119327872e-14,True
dnn,0.05,2,4,0.0,5.477974412378556,0.0899633540633434,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.5,2.455349570439492,0.0899633540633434,dnn,1.4210854715202004e-14,1.6458682239317568e-07,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,9.045585157672232,0.0899633540633434,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,1.0,1.4869510248216484,0.0899665188640103,dnn,1.384705745248807e-13,0.00038994240458123386,0.7851186394691467,1.7636898114978745e-13,True
dnn,0.05,2,8,0.0,4.482221685612751,0.0899665190378572,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
dnn,0.05,2,2,0.5,4.054431795277528,0.0899665190378572,dnn,1.4210854715202004e-14,1.6458682239317568e-07,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.5,3.667470807015676,0.0899665190378572,dnn,1.4210854715202004e-14,2.447398950167212e-10,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.5,7.4013339421880975,0.0899665190378572,dnn,1.4210854715202004e-14,2.447398950167212e-10,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.5,10.000000000000002,0.0899665190378572,dnn,5.684341886080802e-14,1.6458682239317568e-07,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,8,0.0,3.000820366267417,0.0899665191371983,dnn,1.4210854715202004e-14,1.0007839001957564e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.0,0.3302529174737275,0.0899665194848921,dnn,4.3249184789040385e-10,1.5683493614915278e-08,0.7851186394691467,5.508617757219859e-10,True
dnn,0.05,2,4,0.0,0.4462072918927006,0.0899673767735308,dnn,2.821707440186366e-13,1.9324999933623133e-11,0.7851186394691467,3.593988600365222e-13,True
dnn,0.05,2,4,0.0,0.5453349474995434,0.0899795865191136,dnn,1.1021938976741794e-13,1.9324999933623133e-11,0.7851186394691467,1.403856490299888e-13,True
dnn,0.05,2,2,0.0,0.4462072918927006,0.0899795978936666,dnn,1.2889012079853046e-10,1.5683493614915278e-08,0.7851186394691467,1.6416642570819454e-10,True
dnn,0.05,2,8,1.0,0.9955047366910889,0.0899795998308175,dnn,2.8745148622499883e-11,0.00038994240458123386,0.7851186394691467,3.661249036443173e-11,True
dnn,0.05,2,8,0.5,1.1005421090383831,0.0899795999301586,dnn,6.344862244107852e-13,1.2262222526260302e-07,0.7851186394691467,8.081405694810522e-13,True
dnn,0.05,2,8,0.0,0.900492287060531,0.08997960144511,dnn,9.485461461428146e-13,1.0007839001957564e-08,0.7851186394691467,1.2081564472653055e-12,True
dnn,0.05,2,4,0.0,3.000820366267417,0.0899796019418154,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,0.0,8.182261084470007,0.0899796019418154,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
dnn,0.05,2,8,0.0,3.317441949813717,0.0899796019418154,dnn,1.4210854715202004e-14,1.0007839001957564e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,0.5,3.000820366267417,0.0899796019666507,dnn,1.4210854715202004e-14,1.2262222526260302e-07,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,0.2702215594677964,0.0899796022150034,dnn,1.469857113627071e-12,1.9324999933623133e-11,0.7851186394691467,1.8721465008408233e-12,True
dnn,0.05,2,4,0.5,0.4932873707061831,0.0899796284658823,dnn,9.611085798749697e-13,2.447398950167212e-10,0.7851186394691467,1.2241571293286548e-12,True
dnn,0.05,2,8,0.0,0.3650984560060393,0.089987566362021,dnn,2.214435995684383e-10,1.0007839001957564e-08,0.7851186394691467,2.8205113015552153e-10,True
dnn,0.05,2,8,1.0,0.7368062997280775,0.0899893334907269,dnn,6.792297835289673e-10,0.00038994240458123386,0.7851186394691467,8.651301209562729e-10,True
dnn,0.05,2,2,0.0,9.045585157672232,0.0899893412144955,dnn,1.4210854715202004e-14,1.5683493614915278e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.0,0.7368062997280775,0.0899893412144955,dnn,6.7074666133815075e-12,1.5683493614915278e-08,0.7851186394691467,8.54325228849072e-12,True
dnn,0.05,2,4,0.0,0.2987330888578299,0.0899925428893268,dnn,1.1248743906830394e-12,1.9324999933623133e-11,0.7851186394691467,1.4327444721521532e-12,True
dnn,0.05,2,2,0.0,0.4036206056789731,0.0899925516313414,dnn,2.0046116155914007e-10,1.5683493614915278e-08,0.7851186394691467,2.5532594882052563e-10,True
dnn,0.05,2,4,0.0,1.1005421090383831,0.0899925558781723,dnn,1.1198153339396326e-14,1.9324999933623133e-11,0.7851186394691467,1.4263007877341812e-14,True
