family,tau,target_r,achieved_r,distance_to_target_r,nonlinear_layers,hidden_dim,alpha,lambda,initial_fitted_variance,architecture_lambda_zero_fitted_variance,max_lambda_zero_fitted_variance,validation_loss
dnn,0.05,0.1,0.09213271151421887,0.007867288485781138,1,8,0.0,8.182261084470007,0.07233510911464691,0.6083871126174927,0.7851186394691467,0.1068381909685717
dnn,0.05,0.2,0.20170477687507046,0.0017047768750704517,1,4,0.5,8.182261084470007,0.15836217999458313,0.5230457782745361,0.7851186394691467,0.1081434174852329
dnn,0.05,0.3,0.29969129839156305,0.0003087016084369343,1,4,0.5,3.317441949813717,0.2352932244539261,0.5230457782745361,0.7851186394691467,0.1275270934526195
dnn,0.05,0.4,0.3990109401648408,0.000989059835159234,1,8,0.0,4.054431795277528,0.3132709264755249,0.6083871126174927,0.7851186394691467,0.1344249536978239
dnn,0.05,0.5,0.5000222439769497,2.224397694972069e-05,1,2,0.0,3.667470807015676,0.39257678389549255,0.7851186394691467,0.7851186394691467,0.1250330464699965
dnn,0.05,0.6,0.6002448355824677,0.000244835582467684,1,8,1.0,3.000820366267417,0.47126340866088867,0.6600921750068665,0.7851186394691467,0.1287871882994397
dnn,0.05,0.7,0.7017656631191446,0.0017656631191446115,1,2,0.5,1.817286211563076,0.5509693026542664,0.7547611594200134,0.7851186394691467,0.1339188043867979
dnn,0.05,0.8,0.8006522875424998,0.0006522875424997965,1,2,1.0,0.3302529174737275,0.6286070346832275,0.7366795539855957,0.7851186394691467,0.1398832403849089
dnn,0.05,0.9,0.9022482739091436,0.0022482739091436166,1,8,0.5,0.6664844128899691,0.7083719372749329,0.6954004168510437,0.7851186394691467,0.1534891318248944
dnn,0.05,1.0,1.0,0.0,1,8,0.5,0.3650984560060393,0.8151221871376038,0.6954004168510437,0.7851186394691467,0.1702186210254324
dnn,0.1,0.1,0.1802903217166522,0.08029032171665221,2,8,1.0,0.4462072918927006,0.16329580545425415,0.5520374774932861,0.9057380557060242,0.1789704079572117
dnn,0.1,0.2,0.1802903217166522,0.019709678283347798,2,8,1.0,0.4462072918927006,0.16329580545425415,0.5520374774932861,0.9057380557060242,0.1789704079572117
dnn,0.1,0.3,0.30143866418553644,0.0014386641855364535,1,4,0.0,9.045585157672232,0.27302446961402893,0.6598842144012451,0.9057380557060242,0.1652616820298736
dnn,0.1,0.4,0.40125402061087684,0.001254020610876816,1,2,0.0,6.69493964544323,0.36343103647232056,0.767071008682251,0.9057380557060242,0.1724705792087702
dnn,0.1,0.5,0.49990322960419953,9.677039580047175e-05,1,2,1.0,5.477974412378556,0.4527813792228699,0.7348215579986572,0.9057380557060242,0.1740494736791812
dnn,0.1,0.6,0.6001459090932124,0.0001459090932124374,1,4,0.5,1.4869510248216484,0.5435749888420105,0.7307830452919006,0.9057380557060242,0.1851503525365353
dnn,0.1,0.7,0.6996620702757735,0.00033792972422641565,1,8,1.0,0.7368062997280775,0.6337105631828308,0.7420299053192139,0.9057380557060242,0.1814985030567027
dnn,0.1,0.8,0.8000066202664519,6.620266451817791e-06,1,2,1.0,0.3302529174737275,0.7245964407920837,0.7348215579986572,0.9057380557060242,0.1855156411483391
dnn,0.1,0.9,0.89931055123721,0.0006894487627899792,1,2,0.5,0.2987330888578299,0.8145397901535034,0.8317868113517761,0.9057380557060242,0.1914641055185123
dnn,0.1,1.0,1.0,0.0,1,2,0.5,1.2166621504910964,0.9135554432868958,0.8317868113517761,0.9057380557060242,0.1792213571351689
dnn,0.25,0.1,0.15392066170677537,0.05392066170677537,2,4,1.0,0.2,0.16081424057483673,0.5370639562606812,1.0447865724563599,0.3060531495561883
dnn,0.25,0.2,0.19535251226423545,0.004647487735764566,2,2,0.0,0.3302529174737275,0.20410168170928955,0.8752461075782776,1.0447865724563599,0.2570917920576939
dnn,0.25,0.3,0.3055059129046741,0.005505912904674115,2,2,0.0,0.2987330888578299,0.3191884756088257,0.8752461075782776,1.0447865724563599,0.3037278482074211
dnn,0.25,0.4,0.39708930143348503,0.002910698566514991,2,2,0.5,0.7368062997280775,0.41487357020378113,0.8411887884140015,1.0447865724563599,0.2957493788446496
dnn,0.25,0.5,0.49897407723715687,0.0010259227628431344,1,8,0.0,3.317441949813717,0.5213214159011841,0.7383495569229126,1.0447865724563599,0.3130425149958873
dnn,0.25,0.6,0.6009297371554276,0.0009297371554276568,1,4,1.0,0.6028741513057392,0.6278433203697205,0.8818209767341614,1.0447865724563599,0.3039237822957598
dnn,0.25,0.7,0.7000342868031179,3.42868031179e-05,1,8,1.0,0.2444312127604942,0.7313864231109619,0.9048431515693665,1.0447865724563599,0.3099282843708453
dnn,0.25,0.8,0.7996077270245615,0.00039227297543853457,1,2,1.0,0.4036206056789731,0.8354194164276123,0.8857753872871399,1.0447865724563599,0.3126412698280362
dnn,0.25,0.9,0.8986079329735787,0.001392067026421362,1,8,0.0,4.054431795277528,0.9388535022735596,0.7383495569229126,1.0447865724563599,0.3053159115449689
dnn,0.25,1.0,1.0,0.0,1,2,0.0,0.5453349474995434,1.0540636777877808,0.9726513028144836,1.0447865724563599,0.3392727000892134
dnn,0.5,0.1,0.12276505454227035,0.022765054542270347,2,2,0.0,0.9955047366910889,0.12735231220722198,0.713407576084137,1.0373661518096924,0.3223636361842487
dnn,0.5,0.2,0.155175850356318,0.044824149643682004,2,8,0.0,0.3302529174737275,0.1609741747379303,0.7614768743515015,1.0373661518096924,0.389702697469607
dnn,0.5,0.3,0.3246754388444664,0.024675438844466435,1,2,0.0,6.055964668833263,0.3368073105812073,0.7997114658355713,1.0373661518096924,0.3448155716293934
dnn,0.5,0.4,0.397389416388629,0.002610583611371009,1,2,0.5,10.000000000000002,0.41223832964897156,0.6200992465019226,1.0373661518096924,0.3234330323098504
dnn,0.5,0.5,0.5004694291856019,0.0004694291856018884,2,2,1.0,1.2166621504910964,0.5191700458526611,0.8800157904624939,1.0373661518096924,0.3498244060447602
dnn,0.5,0.6,0.600022603848423,2.2603848423008444e-05,1,2,1.0,0.9955047366910889,0.6224431395530701,0.8320742249488831,1.0373661518096924,0.350470854811716
dnn,0.5,0.7,0.7000703166997968,7.03166997968463e-05,1,4,1.0,6.055964668833263,0.7262292504310608,0.8235658407211304,1.0373661518096924,0.3268046204351221
dnn,0.5,0.8,0.800058273571608,5.8273571607925234e-05,2,2,0.5,0.2987330888578299,0.8299533724784851,0.660158634185791,1.0373661518096924,0.4141126915872313
dnn,0.5,0.9,0.9006182790323852,0.000618279032385205,1,4,0.5,0.9955047366910889,0.9342709183692932,1.0373661518096924,1.0373661518096924,0.391264126667574
dnn,0.5,1.0,1.0,0.0,1,8,0.5,1.3450342120312204,1.0438458919525146,0.8622868657112122,1.0373661518096924,0.3652752741792898
dnn,0.75,0.1,0.11717191763285305,0.017171917632853043,2,8,0.0,0.2987330888578299,0.15259051322937012,1.0288820266723633,1.3022788763046265,0.3302457027803877
dnn,0.75,0.2,0.19436999527750365,0.005630004722496362,2,8,0.0,0.2702215594677964,0.253123939037323,1.0288820266723633,1.3022788763046265,0.3731570274682447
dnn,0.75,0.3,0.3005230217349256,0.0005230217349256328,1,2,0.5,6.055964668833263,0.39136478304862976,0.6192683577537537,1.3022788763046265,0.2657761060070335
dnn,0.75,0.4,0.3999461476137571,5.3852386242947414e-05,1,8,0.5,0.4036206056789731,0.5208414196968079,1.3022788763046265,1.3022788763046265,0.3211429872620741
dnn,0.75,0.5,0.4998032369467464,0.00019676305325361243,1,4,1.0,1.4869510248216484,0.6508831977844238,0.9147756099700928,1.3022788763046265,0.2838190900847593
dnn,0.75,0.6,0.6006501373496735,0.000650137349673563,1,2,0.0,0.2211023350218148,0.7822139859199524,0.4356005787849426,1.3022788763046265,0.4502973574294055
dnn,0.75,0.7,0.7015643189082841,0.0015643189082841236,1,4,1.0,0.3302529174737275,0.9136323928833008,0.9147756099700928,1.3022788763046265,0.3008982671455487
dnn,0.75,0.8,0.7989152996158018,0.0010847003841982783,1,2,0.5,1.2166621504910964,1.0404105186462402,0.6192683577537537,1.3022788763046265,0.280235069137292
dnn,0.75,0.9,0.892627147882241,0.007372852117759066,1,4,0.0,0.8145479666433055,1.1624494791030884,0.9106130003929138,1.3022788763046265,0.2972501112856197
dnn,0.75,1.0,1.0,0.0,2,2,0.0,0.4036206056789731,1.350595235824585,0.5454245805740356,1.3022788763046265,0.2747821033744621
dnn,0.9,0.1,0.11243551920625752,0.012435519206257517,2,8,0.0,0.6028741513057392,0.11498881876468658,0.47000327706336975,1.0227090120315552,0.2846702285820123
dnn,0.9,0.2,0.17940244058092306,0.020597559419076955,2,2,0.5,1.2166621504910964,0.1834764927625656,0.564422070980072,1.0227090120315552,0.1672354749895294
dnn,0.9,0.3,0.3009068253623193,0.0009068253623192857,2,8,0.0,0.2987330888578299,0.30774012207984924,0.47000327706336975,1.0227090120315552,0.2524994583484946
dnn,0.9,0.4,0.4028574950417322,0.002857495041732161,1,2,0.0,0.9955047366910889,0.4120059907436371,0.31752580404281616,1.0227090120315552,0.1426737452230434
dnn,0.9,0.5,0.5003366901325954,0.0003366901325954075,1,2,0.5,2.0090311238977194,0.511698842048645,0.7834393382072449,1.0227090120315552,0.1743118068555509
dnn,0.9,0.6,0.5999179401580934,8.205984190656768e-05,1,8,0.0,2.455349570439492,0.6135414838790894,0.8969295620918274,1.0227090120315552,0.2107427043019588
dnn,0.9,0.7,0.7003584289969641,0.0003584289969641441,1,4,0.5,0.8145479666433055,0.7162628769874573,0.7439354062080383,1.0227090120315552,0.2067022480603475
dnn,0.9,0.8,0.7999636325700641,3.636742993595732e-05,1,8,1.0,0.900492287060531,0.8181300163269043,0.7512694597244263,1.0227090120315552,0.1924383551827057
dnn,0.9,0.9,0.8998767936748647,0.0001232063251352944,2,8,1.0,0.9955047366910889,0.9203121066093445,0.9332206845283508,1.0227090120315552,0.1908409083156491
dnn,0.9,1.0,1.0,0.0,1,8,0.5,2.714417616594908,1.0534987449645996,0.8261436820030212,1.0227090120315552,0.1813267276097243
dnn,0.95,0.1,0.14646291451397614,0.046462914513976133,2,8,0.5,0.4036206056789731,0.12109890580177307,0.3693130612373352,0.8268229961395264,0.1633060179620005
dnn,0.95,0.2,0.19961862522697146,0.0003813747730285477,1,2,0.0,1.3450342120312204,0.16504926979541779,0.2050153762102127,0.8268229961395264,0.12904090124111
dnn,0.95,0.3,0.2997688906433691,0.0002311093566308986,2,2,0.0,0.2444312127604942,0.24785581231117249,0.25696733593940735,0.8268229961395264,0.1662722868857197
