model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
dnn,0.05,1,2,0.0,0.1,0.026373515705888462
dnn,0.05,1,2,0.0,1.0,0.02733507741490999
dnn,0.05,1,2,0.0,10.0,0.020439054962247613
dnn,0.05,1,2,0.5,0.1,0.037302772736642516
dnn,0.05,1,2,0.5,1.0,0.02667100199746589
dnn,0.05,1,2,0.5,10.0,0.020749392086640003
dnn,0.05,1,2,1.0,0.1,0.02843826047858844
dnn,0.05,1,2,1.0,1.0,0.026911093239672477
dnn,0.05,1,2,1.0,10.0,0.020987093385929863
dnn,0.05,1,4,0.0,0.1,0.04514432114176451
dnn,0.05,1,4,0.0,1.0,0.036778711815675096
dnn,0.05,1,4,0.0,10.0,0.019708955144509675
dnn,0.05,1,4,0.5,0.1,0.03697358131501824
dnn,0.05,1,4,0.5,1.0,0.028142341654126837
dnn,0.05,1,4,0.5,10.0,0.020549646264563
dnn,0.05,1,4,1.0,0.1,0.02784349361838152
dnn,0.05,1,4,1.0,1.0,0.02720591529365629
dnn,0.05,1,4,1.0,10.0,0.021104942197911442
dnn,0.05,1,8,0.0,0.1,0.06321468575795493
dnn,0.05,1,8,0.0,1.0,0.04056036257122954
dnn,0.05,1,8,0.0,10.0,0.020690157894045113
dnn,0.05,1,8,0.5,0.1,0.032946458459055666
dnn,0.05,1,8,0.5,1.0,0.02847937690652907
dnn,0.05,1,8,0.5,10.0,0.02015231880685315
dnn,0.05,1,8,1.0,0.1,0.028039782040442027
dnn,0.05,1,8,1.0,1.0,0.027504845278027153
dnn,0.05,1,8,1.0,10.0,0.020751058652686574
dnn,0.05,2,2,0.0,0.1,0.0180990312024951
dnn,0.05,2,2,0.0,1.0,0.017851273364077012
dnn,0.05,2,2,0.0,10.0,0.018107861214627825
dnn,0.05,2,2,0.5,0.1,0.017873272985219957
dnn,0.05,2,2,0.5,1.0,0.017958612910161417
dnn,0.05,2,2,0.5,10.0,0.01785127338891228
dnn,0.05,2,2,1.0,0.1,0.02654002415885528
dnn,0.05,2,2,1.0,1.0,0.0179586129412055
dnn,0.05,2,2,1.0,10.0,0.017872647881507876
dnn,0.05,2,4,0.0,0.1,0.017880337867885832
dnn,0.05,2,4,0.0,1.0,0.017860439993441106
dnn,0.05,2,4,0.0,10.0,0.01806152130415042
dnn,0.05,2,4,0.5,0.1,0.02958144707620765
dnn,0.05,2,4,0.5,1.0,0.017958616685122254
dnn,0.05,2,4,0.5,10.0,0.017872647881507876
dnn,0.05,2,4,1.0,0.1,0.026345393792105216
dnn,0.05,2,4,1.0,1.0,0.017851273339241747
dnn,0.05,2,4,1.0,10.0,0.01811327765012781
dnn,0.05,2,8,0.0,0.1,0.040672496082416416
dnn,0.05,2,8,0.0,1.0,0.0181132777184248
dnn,0.05,2,8,0.0,10.0,0.018073493201285592
dnn,0.05,2,8,0.5,0.1,0.03788348350146164
dnn,0.05,2,8,0.5,1.0,0.017958620664974057
dnn,0.05,2,8,0.5,10.0,0.01795861310263475
dnn,0.05,2,8,1.0,0.1,0.026964288947793343
dnn,0.05,2,8,1.0,1.0,0.018004444014281036
dnn,0.05,2,8,1.0,10.0,0.017872647881507876
dnn,0.1,1,2,0.0,0.1,0.053935275610536355
dnn,0.1,1,2,0.0,1.0,0.04846796577672165
dnn,0.1,1,2,0.0,10.0,0.03281205844009915
dnn,0.1,1,2,0.5,0.1,0.037651741177464525
dnn,0.1,1,2,0.5,1.0,0.03753655741022279
dnn,0.1,1,2,0.5,10.0,0.03280948819313197
dnn,0.1,1,2,1.0,0.1,0.038375854608913254
dnn,0.1,1,2,1.0,1.0,0.03612551325497527
dnn,0.1,1,2,1.0,10.0,0.03362724661702911
dnn,0.1,1,4,0.0,0.1,0.07073272451634208
dnn,0.1,1,4,0.0,1.0,0.050054529843541466
dnn,0.1,1,4,0.0,10.0,0.032726717226828135
