model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
linear_activation,0.05,0,0,1.0,0.2,0.057889635574693496
linear_activation,0.05,0,0,1.0,0.22110233502181484,0.04284818421055873
linear_activation,0.05,0,0,1.0,0.24443121276049423,0.042523166384547964
linear_activation,0.05,0,0,1.0,0.27022155946779647,0.04301390806150933
linear_activation,0.05,0,0,1.0,0.29873308885782995,0.041444578306749455
linear_activation,0.05,0,0,1.0,0.33025291747372754,0.05501237303577364
linear_activation,0.05,0,0,1.0,0.36509845600603935,0.05217895526997745
linear_activation,0.05,0,0,1.0,0.4036206056789731,0.04697022925068935
linear_activation,0.05,0,0,1.0,0.44620729189270064,0.0397372934340189
linear_activation,0.05,0,0,1.0,0.4932873707061831,0.04660312300175429
linear_activation,0.05,0,0,1.0,0.5453349474995434,0.036582488913709924
linear_activation,0.05,0,0,1.0,0.6028741513057392,0.051052258954693876
linear_activation,0.05,0,0,1.0,0.6664844128899691,0.04821913830873867
linear_activation,0.05,0,0,1.0,0.7368062997280775,0.04626864877156914
linear_activation,0.05,0,0,1.0,0.8145479666433055,0.03992867641088863
linear_activation,0.05,0,0,1.0,0.900492287060531,0.039251247538253674
linear_activation,0.05,0,0,1.0,0.9955047366910887,0.042409430074195065
linear_activation,0.05,0,0,1.0,1.1005421090383833,0.05034476988576353
linear_activation,0.05,0,0,1.0,1.2166621504910964,0.03902788215875626
linear_activation,0.05,0,0,1.0,1.3450342120312204,0.05096115704874196
linear_activation,0.05,0,0,1.0,1.4869510248216484,0.04909315952969094
linear_activation,0.05,0,0,1.0,1.643841718255735,0.0521740158299605
linear_activation,0.05,0,0,1.0,1.8172862115630761,0.04584549551767607
linear_activation,0.05,0,0,1.0,2.0090311238977194,0.03787184173179171
linear_activation,0.05,0,0,1.0,2.221007363126434,0.06626530833169816
linear_activation,0.05,0,0,1.0,2.4553495704394916,0.08039780228336652
linear_activation,0.05,0,0,1.0,2.7144176165949077,0.049281376854206124
linear_activation,0.05,0,0,1.0,3.000820366267417,0.045121119114880766
linear_activation,0.05,0,0,1.0,3.3174419498137175,0.04650097350217403
linear_activation,0.05,0,0,1.0,3.667470807015676,0.053682409331823396
linear_activation,0.05,0,0,1.0,4.0544317952775275,0.04156625118044514
linear_activation,0.05,0,0,1.0,4.482221685612751,0.07707500408341487
linear_activation,0.05,0,0,1.0,4.955148403871969,0.0434855651135246
linear_activation,0.05,0,0,1.0,5.477974412378556,0.03295440793906649
linear_activation,0.05,0,0,1.0,6.055964668833263,0.04482219292409718
linear_activation,0.05,0,0,1.0,6.69493964544323,0.05037348100232582
